TimeStamp(HH:MM:SS),CO2(PPM),Humidity(%RH),Temperature(Deg C),Light Level (Lux)
01:01:01,100,50,25,1000
01:01:02,200,51,26,1100
01:01:02,300,52,27,1200
0:0:1,450,0,0.0,747.187
0:0:3,450,0,0.0,696.811
0:0:6,450,0,0.0,616.232
0:0:7,450,0,0.0,714.482
0:0:9,450,0,0.0,13.842
0:0:10,450,0,0.0,812.546
0:0:12,450,0,0.0,832.932
0:0:13,450,0,0.0,868.287
0:0:15,450,0,0.0,882.270
0:0:18,450,0,0.0,896.788
0:0:19,450,0,0.0,607.456
0:0:20,704,51,23.3,577.679
0:0:22,766,53,21.9,576.117
0:0:25,827,53,21.4,581.333
0:0:29,870,53,21.4,571.935
0:0:34,903,53,21.5,552.360
0:0:40,928,53,21.5,555.848
0:0:47,940,52,21.7,556.004
0:0:55,972,52,21.7,542.683
0:1:4,994,52,21.8,551.738
0:1:14,1004,52,21.7,552.921
0:1:25,1014,52,21.9,559.213
0:1:37,1016,52,22.0,558.465
0:1:50,1038,52,22.1,561.082
0:2:4,1053,51,22.1,560.023
0:2:19,1066,51,22.1,555.599
0:2:35,1076,51,22.1,552.983
0:2:52,1073,50,22.0,542.403
0:3:10,1056,50,22.0,560.023
0:3:29,1056,49,21.7,558.652
0:3:49,1056,48,21.7,564.854
0:4:10,1044,47,21.5,564.449
0:4:32,1034,47,21.5,565.197
0:4:55,1037,46,21.3,561.145
0:5:19,1031,46,21.0,556.440
0:5:44,1023,45,21.1,568.472
0:6:10,1014,45,21.1,572.122
0:6:37,1008,45,21.1,577.429
0:7:5,999,45,21.1,580.364
0:7:34,1000,45,21.0,581.989
0:8:4,998,45,21.2,582.051
0:8:35,996,46,21.1,575.243
0:9:7,985,46,21.3,570.094
0:9:40,962,47,21.3,559.773
0:10:14,955,47,21.4,579.178
0:10:49,953,48,21.4,583.363
0:11:25,949,48,21.4,583.551
0:12:2,949,49,21.4,584.238
0:12:40,947,49,21.6,582.176
0:13:19,938,50,21.5,578.647
0:13:59,935,50,21.5,577.741
0:14:40,930,50,21.5,562.267
0:15:22,934,51,21.6,589.990
0:16:5,948,51,21.7,581.801
0:16:49,963,52,21.7,568.472
0:17:34,966,52,21.8,591.429
0:18:20,979,52,22.0,568.878
0:19:7,986,52,22.0,574.494
0:19:55,989,53,22.1,574.682
0:20:44,988,53,22.0,577.366
0:21:34,980,53,22.0,575.618
0:22:25,978,53,22.2,569.439
0:23:17,974,53,22.0,558.371
1:0:10,980,53,22.0,561.643
1:1:4,1001,53,21.9,564.324
1:1:59,1009,53,21.9,563.919
1:2:55,1030,53,21.8,565.759
1:3:52,1047,52,21.8,557.156
1:4:50,1057,52,21.7,555.848
1:5:49,1072,50,22.0,555.692
1:6:49,1082,49,22.3,555.661
1:7:50,1071,49,22.3,561.456
1:8:52,1064,48,22.2,558.683
1:9:55,1082,47,22.3,565.260
1:10:59,1091,46,22.6,565.197
1:12:4,1103,46,22.2,571.779
1:13:10,1113,46,22.3,573.589
1:14:17,1122,45,22.3,573.932
1:15:25,1130,45,22.4,571.841
1:16:34,1139,45,22.4,562.516
1:17:44,1152,45,22.5,567.973
1:18:55,1160,44,22.5,566.944
1:20:7,1163,44,22.4,554.291
1:21:20,1174,45,22.4,551.395
1:22:34,1192,45,22.4,541.905
1:23:49,1201,45,22.3,541.843
2:1:5,1215,46,22.3,544.269
2:2:22,1219,46,22.3,553.606
2:3:40,1232,47,22.3,542.714
2:4:59,1239,47,22.6,541.252
2:6:19,1252,48,22.5,545.233
2:7:40,1257,48,22.6,545.233
2:9:2,1266,48,22.7,537.553
2:10:25,1274,49,22.7,535.129
2:11:49,1286,49,22.8,521.530
2:13:14,1291,49,22.8,523.888
2:14:40,1285,49,22.8,517.467
2:16:7,1279,50,22.8,517.684
2:17:35,1278,50,22.8,531.836
2:19:4,1276,50,22.5,529.786
2:20:34,1244,50,22.5,538.174
2:22:5,1241,50,22.3,534.694
2:23:37,1234,50,22.1,531.152
3:1:10,1260,50,22.2,522.771
3:2:44,1250,49,22.3,517.560
3:4:19,1248,48,22.7,521.096
3:5:55,1248,47,22.7,516.196
3:7:32,1248,47,22.7,524.074
3:9:10,1249,46,22.5,521.468
3:10:49,1263,45,22.4,520.537
3:12:29,1268,45,22.6,512.724
3:14:10,1278,44,22.6,510.679
3:15:52,1278,45,22.3,509.254
3:17:35,1273,44,22.2,501.698
3:19:19,1273,44,22.0,504.670
3:21:4,1267,44,22.0,503.215
3:22:50,1268,45,21.9,503.927
4:0:37,1267,45,21.9,493.501
4:2:25,1256,46,21.8,489.791
4:4:14,1256,46,21.8,486.052
4:6:4,1253,47,21.8,482.655
4:7:55,1250,47,21.9,473.581
4:9:47,1247,48,21.8,467.198
4:11:40,1250,49,21.9,472.532
4:13:34,1250,49,22.0,468.524
4:15:29,1238,50,22.1,471.114
4:17:25,1239,50,22.0,471.422
4:19:22,1243,51,22.0,460.944
4:21:20,1238,51,22.1,461.067
4:23:19,1239,51,22.1,460.266
5:1:19,1231,52,22.2,462.299
5:3:20,1231,52,22.0,460.759
5:5:22,1229,53,22.0,462.669
5:7:25,1226,53,22.1,465.965
5:9:29,1217,53,22.2,461.283
5:11:34,1215,53,22.2,467.137
5:13:40,1218,54,22.1,463.654
5:15:47,1218,54,22.1,468.585
5:17:55,1210,54,22.2,468.431
5:20:4,1206,55,22.2,472.193
5:22:14,1204,55,22.2,472.440
6:0:25,1200,55,22.2,476.388
6:2:37,1201,55,22.3,487.597
6:4:50,1205,55,22.3,497.583
6:7:4,1221,55,22.4,486.670
6:9:19,1230,55,22.2,492.171
6:11:35,1208,55,22.2,495.170
6:13:52,1157,55,22.2,497.738
6:16:10,1109,55,21.9,507.519
6:18:29,1117,54,21.8,508.324
6:20:49,1115,54,21.7,515.514
6:23:10,1114,53,21.8,509.501
7:1:32,1124,52,21.9,511.484
7:3:55,1125,51,22.0,510.214
7:6:19,1128,50,22.0,508.200
7:8:44,1138,49,21.9,508.851
7:11:10,1145,49,22.2,513.592
7:13:37,1157,48,22.2,510.214
7:16:5,1168,48,22.4,512.600
7:18:34,1178,48,22.1,509.718
7:21:4,1190,48,22.1,480.864
7:23:35,1207,48,22.1,447.219
8:2:7,1221,48,22.1,437.294
8:4:40,1222,49,22.2,440.150
8:7:14,1223,49,22.4,480.493
8:9:49,1218,49,22.2,487.442
8:12:25,1222,49,22.6,494.552
8:15:2,1240,50,22.5,496.067
8:17:40,1251,50,22.5,65.697
8:20:19,1267,51,22.1,10.545
8:22:59,1297,52,22.9,267.032
9:1:40,1309,52,23.6,262.408
